model_id;(Intercept);count_TRUE;counting_method;counting_time_1m;counting_time_cells;exp_bota;habitat_closure;quadrat_order;quadrat_order_squared;species_conspicuousness;count_TRUE:counting_method;counting_method:exp_bota;counting_method:habitat_closure;counting_method:quadrat_order;counting_method:quadrat_order_squared;counting_method:species_conspicuousness;counting_time_1m:habitat_closure;counting_time_1m:species_conspicuousness;counting_time_cells:habitat_closure;counting_time_cells:species_conspicuousness;habitat_closure:species_conspicuousness;df;logLik;AICc;delta;weight
866815;-0,893147841;-0,004283126;+;0,166621545;0,073811747;0,099874016;-0,49392112;-0,013820108;0,001636463;0,243711887;NA;NA;+;+;+;NA;NA;-0,000573757;NA;-0,00291231;0,138915432;23;-14841,58928;29729,43559;995,2311148;2.08617899468696e-217
867327;-0,868854448;-0,004446149;+;0,161378383;0,072613022;0,099819831;-0,493565501;-0,013755547;0,001631793;0,240695676;+;NA;+;+;+;NA;NA;0,000851838;NA;-0,002640992;0,13877202;25;-14839,59449;29729,49179;995,2873139;2.0283742542006e-217
895935;-0,905411765;-0,0044367;+;0,163636222;0,072506573;0,099282986;-0,493477011;NA;0,000438284;0,243903679;+;NA;+;NA;+;NA;0,013079147;-0,001322098;NA;-0,002720834;0,138816029;23;-14841,64603;29729,54909;995,3446164;1.97108339686749e-217
564223;-0,86858625;-0,004460337;+;0,158912021;0,067309681;0,0993638;-0,483418377;-0,00625699;0,000940337;0,235518761;+;NA;+;+;NA;NA;0,013656928;NA;NA;NA;0,136815956;22;-14842,69831;29729,63219;995,4277109;1.89086818408918e-217
564095;-0,890262041;-0,004457358;+;0,158681605;0,06731573;0,099382885;-0,484816669;0,004093238;NA;0,23566931;+;NA;+;+;NA;NA;0,013682013;NA;NA;NA;0,137319805;21;-14843,78063;29729,77629;995,5718144;1.75942022768411e-217
828863;-0,887675022;-0,004128851;+;0,163512332;0,078162482;0,055327431;-0,581434774;NA;0,000469816;0,265300659;NA;+;NA;NA;+;NA;-0,018771741;NA;NA;-0,00934504;0,146278889;20;-14844,8553;29729,90605;995,7015699;1.64889702868038e-217
895487;-0,94639676;-0,004276;+;0,1689166;0,073846018;0,099463348;-0,495325386;0,008243422;-0,000273971;0,246048244;NA;NA;+;NA;+;NA;0,013827275;-0,002990067;NA;-0,003017124;0,139546584;22;-14842,84001;29729,91559;995,7111149;1.6410463961374e-217
833023;-0,865503598;-0,004130866;+;0,163665989;0,078590034;0,05552146;-0,581293005;-0,009752532;0,001315709;0,2646645;NA;+;NA;+;+;NA;-0,01865919;NA;NA;-0,009367772;0,146264985;23;-14841,90767;29730,07238;995,8679001;1.51731372242517e-217
895999;-0,926111734;-0,004433292;+;0,163769957;0,072639471;0,099351614;-0,494983411;0,008495892;-0,000296394;0,244483884;+;NA;+;NA;+;NA;0,013092347;-0,001494505;NA;-0,002747349;0,139382326;24;-14840,97958;29730,23862;996,0341377;1.39629557180884e-217
828927;-0,907861297;-0,004127506;+;0,163443571;0,078264635;0,055140411;-0,581746653;0,009257414;-0,000329449;0,26541936;NA;+;NA;NA;+;NA;-0,01880501;NA;NA;-0,009354562;0,146380067;21;-14844,0573;29730,32964;996,1251648;1.33416972517083e-217
563711;-0,889188501;-0,004282155;+;0,161763092;0,068398097;0,099554453;-0,485239386;-0,006881303;0,00099714;0,235958386;NA;NA;+;+;NA;NA;0,013948626;NA;NA;NA;0,138054865;20;-14845,17508;29730,54559;996,3411124;1.19761891372004e-217
862655;-0,921208019;-0,004279396;+;0,166076546;0,073299866;0,099779781;-0,493675698;NA;0,000437877;0,24286358;NA;NA;+;NA;+;NA;NA;-0,000389874;NA;-0,002867039;0,1389805;20;-14845,17673;29730,5489;996,3444197;1.19564011663139e-217
863167;-0,898079173;-0,004437164;+;0,160773859;0,072036113;0,099601514;-0,494311068;NA;0,00043529;0,24038603;+;NA;+;NA;+;NA;NA;0,00110889;NA;-0,002584025;0,139135624;22;-14843,16518;29730,56593;996,3614548;1.18549942870703e-217
886655;-0,956254719;-0,004398042;+;0,185574166;0,076098441;0,053959127;-0,584313764;0,017540698;NA;0,276260007;+;+;NA;NA;NA;NA;-0,010121632;-0,017375986;NA;-0,009525275;0,14607789;21;-14844,27469;29730,76441;996,5599356;1.07349937902656e-217
563583;-0,911234982;-0,004277355;+;0,161595703;0,068425401;0,099489991;-0,484427576;0,004079322;NA;0,236062993;NA;NA;+;+;NA;NA;0,013947874;NA;NA;NA;0,137651798;19;-14846,36313;29730,90305;996,6985701;1.00160778606141e-217
886719;-0,921194981;-0,004393018;+;0,185367531;0,075917801;0,054476681;-0,583460314;NA;0,001543825;0,276642429;+;+;NA;NA;NA;NA;-0,010233594;-0,017067164;NA;-0,009491427;0,145721816;21;-14844,3717;29730,95843;996,7539566;9.74250563766617e-218
629759;-0,86226402;-0,004469969;+;0,153252024;0,067310769;0,099370178;-0,484695979;-0,006468473;0,000961704;0,232879414;+;NA;+;+;NA;NA;0,012019311;0,003758112;NA;NA;0,137694715;23;-14842,36613;29730,98929;996,7848157;9.59333676696121e-218
629631;-0,883201104;-0,004472015;+;0,153271806;0,067317213;0,09935042;-0,48486104;0,004096513;NA;0,232878314;+;NA;+;+;NA;NA;0,012070887;0,003614415;NA;NA;0,137692435;22;-14843,47436;29731,18428;996,9798057;8.70218185684575e-218
531455;-0,86862491;-0,004460623;+;0,159971822;0,067081261;0,099642488;-0,486447535;-0,006246103;0,000944931;0,235023447;+;NA;+;+;NA;NA;NA;NA;NA;NA;0,137493386;21;-14844,48836;29731,19175;996,9872672;8.66977683018394e-218
863231;-0,92009314;-0,004443757;+;0,160968771;0,072157214;0,099635799;-0,49343705;0,008426943;-0,000287539;0,242151962;+;NA;+;NA;+;NA;NA;0,000903113;NA;-0,00260357;0,138679413;23;-14842,49607;29731,24918;997,044706;8.42432758481394e-218
862719;-0,941165822;-0,004279904;+;0,166245148;0,073413371;0,099776827;-0,493724974;0,008271306;-0,00027558;0,243724736;NA;NA;+;NA;+;NA;NA;-0,000529604;NA;-0,002887421;0,138881099;21;-14844,53777;29731,29058;997,0860999;8.25176167403746e-218
531327;-0,889260623;-0,004462664;+;0,159828162;0,067098502;0,099744592;-0,484685637;0,004146653;NA;0,235068971;+;NA;+;+;NA;NA;NA;NA;NA;NA;0,136857774;20;-14845,56774;29731,33092;997,1264405;8.08698830683798e-218
796607;-0,842963127;-0,004492842;+;0,155178993;0,073038699;0,05614783;-0,587707754;NA;0,000471362;0,261356084;+;+;NA;NA;+;NA;NA;NA;NA;-0,007551671;0,145569041;21;-14844,56543;29731,3459;997,1414173;8.02665606894886e-218
886783;-0,938227845;-0,004399208;+;0,185542481;0,076078084;0,054090831;-0,583820943;0,009259885;0,000749226;0,275701311;+;+;NA;NA;NA;NA;-0,010176733;-0,017253311;NA;-0,009521547;0,145981163;22;-14843,5837;29731,40297;997,1984913;7.80083665415257e-218
800767;-0,816162949;-0,004492307;+;0,155319496;0,073508752;0,056341792;-0,587100501;-0,010537458;0,001384142;0,259552541;+;+;NA;+;+;NA;NA;NA;NA;-0,007592117;0,145575206;24;-14841,56951;29731,41847;997,2139941;7.74060311535275e-218
596991;-0,857541038;-0,004481285;+;0,151171264;0,067126953;0,099626729;-0,484614386;-0,006417953;0,000959032;0,231005196;+;NA;+;+;NA;NA;NA;0,00571793;NA;NA;0,13747932;22;-14843,65602;29731,54761;997,3431284;7.25660738577908e-218
572415;-0,85505033;-0,004459337;+;0,159247971;0,06744852;0,099325397;-0,487521509;-0,014165403;0,001665185;0,235728163;+;NA;+;+;+;NA;0,013618906;NA;NA;NA;0,138337099;24;-14841,66866;29731,61678;997,4123047;7.00990588893554e-218
796671;-0,860250969;-0,004491363;+;0,155106094;0,073160409;0,056018595;-0,588451819;0,009442913;-0,000345044;0,260098455;+;+;NA;NA;+;NA;NA;NA;NA;-0,007567381;0,1460224;22;-14843,73848;29731,71252;997,5080424;6.68225445658187e-218
596863;-0,880356814;-0,004472817;+;0,151184222;0,067132797;0,099654394;-0,484033756;0,004120082;NA;0,231760963;+;NA;+;+;NA;NA;NA;0,005564159;NA;NA;0,13717456;21;-14844,77545;29731,76593;997,561453;6.50616464206481e-218
629247;-0,883371791;-0,004287475;+;0,157816649;0,068361201;0,099522267;-0,483954633;-0,006914726;0,000999866;0,233641576;NA;NA;+;+;NA;NA;0,01276872;0,002724335;NA;NA;0,137851678;21;-14844,9908;29732,19663;997,9921523;5.24565693314275e-218
530943;-0,887460328;-0,004282235;+;0,162864442;0,068222133;0,099836967;-0,48458374;-0,006782405;0,000992319;0,235147617;NA;NA;+;+;NA;NA;NA;NA;NA;NA;0,137334601;19;-14847,04286;29732,26251;998,0580304;5.07568471192078e-218
571903;-0,873286048;-0,004282544;+;0,162068925;0,068579913;0,099501555;-0,48570553;-0,01436703;0,00168027;0,23548452;NA;NA;+;+;+;NA;0,013918086;NA;NA;NA;0,138223613;22;-14844,13321;29732,50199;998,297513;4.50289329735882e-218
568255;-0,882704775;-0,004457971;+;0,159121798;0,067000758;0,099308385;-0,48518187;NA;0,000436645;0,23488562;+;NA;+;NA;+;NA;0,013458659;NA;NA;NA;0,137534769;21;-14845,18901;29732,59304;998,3885661;4.30248858916793e-218
629119;-0,907501903;-0,004280455;+;0,157882385;0,068390691;0,099491693;-0,483738683;0,004065366;NA;0,234324854;NA;NA;+;+;NA;NA;0,012807379;0,002561188;NA;NA;0,137662258;20;-14846,20066;29732,59677;998,3922871;4.2944912295804e-218
530815;-0,909809827;-0,004276834;+;0,162690168;0,068249265;0,099817895;-0,48410149;0,004118143;NA;0,235229295;NA;NA;+;+;NA;NA;NA;NA;NA;NA;0,137138528;18;-14848,22921;29732,61748;998,4130066;4.25023095803868e-218
637951;-0,844626594;-0,004469342;+;0,153457598;0,067450434;0,099398502;-0,484019119;-0,01421753;0,001669208;0,231963389;+;NA;+;+;+;NA;0,011962484;0,003850129;NA;NA;0,137538809;25;-14841,32033;29732,94348;998,7390066;3.61095888301901e-218
596479;-0,880963712;-0,004287126;+;0,155746144;0,068181164;0,099872073;-0,483453674;-0,006964298;0,001006941;0,23236136;NA;NA;+;+;NA;NA;NA;0,00478596;NA;NA;0,137482105;20;-14846,44035;29733,07615;998,8716713;3.37920672032156e-218
539647;-0,854495434;-0,004457279;+;0,160320234;0,067227793;0,099717725;-0,48605923;-0,01380272;0,001635868;0,235275855;+;NA;+;+;+;NA;NA;NA;NA;NA;0,137281895;23;-14843,44742;29733,15188;998,9473984;3.25364999676103e-218
568319;-0,90123782;-0,004458011;+;0,159015287;0,067075822;0,09927223;-0,486167388;0,008250415;-0,000275001;0,234948754;+;NA;+;NA;+;NA;0,013379867;NA;NA;NA;0,137903094;22;-14844,55353;29733,34263;999,1381488;2.9576713777837e-218
853887;-0,967048907;-0,004393904;+;0,191478228;0,076734857;0,054602779;-0,59116903;0,017537109;NA;0,279990225;+;+;NA;NA;NA;NA;NA;-0,02211438;NA;-0,009511512;0,146717509;20;-14846,60338;29733,4022;999,1977259;2.87086585981465e-218
605183;-0,84157391;-0,004478019;+;0,15145783;0,067277284;0,099664402;-0,483987823;-0,013872323;0,001639984;0,230319503;+;NA;+;+;+;NA;NA;0,005773411;NA;NA;0,13737231;24;-14842,59083;29733,46112;999,2566454;2.78752460456565e-218
596351;-0,904318468;-0,004282904;+;0,15581222;0,068215276;0,099817125;-0,483550208;0,004105078;NA;0,232824728;NA;NA;+;+;NA;NA;NA;0,004626793;NA;NA;0,137429839;19;-14847,66553;29733,50784;999,3033634;2.72316530212581e-218
567743;-0,903969116;-0,004281684;+;0,161894155;0,06815989;0,099434745;-0,485541317;NA;0,000435285;0,235317914;NA;NA;+;NA;+;NA;0,013739337;NA;NA;NA;0,138210805;19;-14847,67274;29733,52227;999,3177947;2.70358661375255e-218
853951;-0,932343319;-0,004394084;+;0,191446486;0,076615524;0,054905433;-0,592507205;NA;0,001542613;0,280384957;+;+;NA;NA;NA;NA;NA;-0,02194601;NA;-0,009499842;0,147228501;20;-14846,75757;29733,71058;999,5061032;2.4606488253141e-218
633791;-0,877465367;-0,004468992;+;0,153255036;0,067005441;0,099388459;-0,484105723;NA;0,00043655;0,232614466;+;NA;+;NA;+;NA;0,011732928;0,0039303;NA;NA;0,137569687;22;-14844,81788;29733,87133;999,6668532;2.27061345205625e-218
535487;-0,882087112;-0,004462727;+;0,160173014;0,066780637;0,099575192;-0,486959729;NA;0,00043844;0,234525708;+;NA;+;NA;+;NA;NA;NA;NA;NA;0,13776978;20;-14846,92377;29734,04297;999,8384938;2.08387630123422e-218
854015;-0,95217627;-0,004395172;+;0,191332899;0,07667132;0,054707594;-0,588496386;0,009350323;0,000739904;0,281178367;+;+;NA;NA;NA;NA;NA;-0,021968806;NA;-0,009494665;0,145716211;21;-14845,94087;29734,09678;999,8922981;2.02856286858219e-218
637439;-0,867610501;-0,004286371;+;0,157911601;0,068539074;0,099524586;-0,484234191;-0,014406971;0,001683645;0,233088987;NA;NA;+;+;+;NA;0,012649314;0,002865405;NA;NA;0,138030743;23;-14843,93169;29734,12042;999,9159401;2.00472436857005e-218
539135;-0,872233711;-0,004283499;+;0,163166594;0,068407348;0,099794362;-0,485453869;-0,013996634;0,001649471;0,23465702;NA;NA;+;+;+;NA;NA;NA;NA;NA;0,137710907;21;-14845,98921;29734,19346;999,9889784;1.93283423459075e-218
601023;-0,871603892;-0,004478981;+;0,151190763;0,066837255;0,099576333;-0,483331548;NA;0,000436439;0,230454631;+;NA;+;NA;+;NA;NA;0,005862501;NA;NA;0,137142941;21;-14846,0416;29734,29824;1000,093761;1.83417734338975e-218
567807;-0,92126891;-0,004279614;+;0,161819646;0,068231819;0,099439396;-0,485014715;0,007962178;-0,000251903;0,235369206;NA;NA;+;NA;+;NA;0,013687247;NA;NA;NA;0,13800977;20;-14847,07579;29734,34702;1000,142539;1.78998485224161e-218
633855;-0,894315607;-0,004469118;+;0,153212082;0,067080966;0,099303964;-0,483486281;0,008134223;-0,000265521;0,232553551;+;NA;+;NA;+;NA;0,011711428;0,003849845;NA;NA;0,137294743;23;-14844,20119;29734,65942;1000,454937;1.53113320249094e-218
535551;-0,899979759;-0,00446041;+;0,160072558;0,066861969;0,099553557;-0,486276442;0,008362655;-0,000284003;0,2343203;+;NA;+;NA;+;NA;NA;NA;NA;NA;0,137563573;21;-14846,27189;29734,75881;1000,55433;1.45690084214304e-218
604671;-0,865304982;-0,004289046;+;0,155880811;0,068367008;0,099825063;-0,483625175;-0,014069459;0,001655117;0,231650853;NA;NA;+;+;+;NA;NA;0,004907025;NA;NA;0,137633015;22;-14845,35712;29734,9498;1000,745323;1.32420874157837e-218
575935;-0,855952706;-0,004274018;+;0,162331893;0,06874526;0,099900715;-0,457682835;NA;0,001690748;0,188111432;NA;NA;+;NA;NA;+;0,015390974;NA;NA;NA;0,136980834;19;-14848,411;29734,99879;1000,79431;1.2921685319824e-218
601087;-0,891813379;-0,00447432;+;0,151161588;0,06690913;0,099626554;-0,48550135;0,008147798;-0,000266294;0,231191143;+;NA;+;NA;+;NA;NA;0,005786597;NA;NA;0,137915731;22;-14845,42105;29735,07767;1000,873192;1.24219606509101e-218
633279;-0,89974831;-0,004285354;+;0,157524408;0,068116142;0,099479842;-0,483502457;NA;0,000434673;0,23360168;NA;NA;+;NA;+;NA;0,012433194;0,003000295;NA;NA;0,137731878;20;-14847,45145;29735,09833;1000,893852;1.22942978275992e-218
534975;-0,902653094;-0,004281453;+;0,162975089;0,067989794;0,099776584;-0,485368075;NA;0,000437249;0,23462043;NA;NA;+;NA;+;NA;NA;NA;NA;NA;0,137715345;18;-14849,48568;29735,13043;1000,925956;1.2098530132906e-218
600511;-0,896000075;-0,004286905;+;0,155522037;0,067947764;0,099792693;-0,484497561;NA;0,000435598;0,231596326;NA;NA;+;NA;+;NA;NA;0,005012679;NA;NA;0,137973359;19;-14848,82734;29735,83146;1001,626983;8.5213119445309e-219
535039;-0,921841148;-0,004280038;+;0,162906261;0,068064964;0,099734748;-0,485407649;0,00810145;-0,000262298;0,235349233;NA;NA;+;NA;+;NA;NA;NA;NA;NA;0,137641928;19;-14848,87222;29735,92123;1001,716749;8.14730517261646e-219
633343;-0,917341015;-0,004284125;+;0,157609828;0,068191948;0,09946131;-0,484550997;0,007888566;-0,000246376;0,233687011;NA;NA;+;NA;+;NA;0,012403568;0,002899467;NA;NA;0,138111912;21;-14846,8705;29735,95603;1001,751555;8.00674256351227e-219
575999;-0,871854645;-0,004272157;+;0,162263457;0,068811005;0,099850765;-0,458247041;0,006992398;0,001091457;0,188296475;NA;NA;+;NA;NA;+;0,015352241;NA;NA;NA;0,137180357;20;-14847,9528;29736,10103;1001,896553;7.44680675118886e-219
600575;-0,914298199;-0,004285253;+;0,155640676;0,068023327;0,099763313;-0,483602452;0,007903901;-0,000246611;0,232177138;NA;NA;+;NA;+;NA;NA;0,004885088;NA;NA;0,137590532;20;-14848,24352;29736,68249;1002,478011;5.56811386767005e-219
641471;-0,855676234;-0,004276833;+;0,157091091;0,068755907;0,099856114;-0,45845675;NA;0,001691635;0,188159618;NA;NA;+;NA;NA;+;0,01395123;0,003128476;NA;NA;0,137117984;20;-14848,33716;29736,86976;1002,665278;5.07041437630768e-219
575871;-0,897628225;-0,004266933;+;0,162076957;0,068848519;0,099814997;-0,457655294;0,019067603;NA;0,188834215;NA;NA;+;NA;NA;+;0,015367028;NA;NA;NA;0,136887334;19;-14849,38912;29736,95503;1002,750548;4.85878247184834e-219
543167;-0,855912313;-0,004273986;+;0,163527089;0,068578112;0,100215914;-0,457957814;NA;0,001700577;0,187905897;NA;NA;+;NA;NA;+;NA;NA;NA;NA;0,136549662;18;-14850,69518;29737,54944;1003,344958;3.60954937913219e-219
608703;-0,858182534;-0,004282138;+;0,147290033;0,068656609;0,100198798;-0,45902881;NA;0,001700839;0,189523929;NA;NA;+;NA;NA;+;NA;0,009499953;NA;NA;0,136516279;19;-14849,82001;29737,81681;1003,612336;3.15785689023232e-219
641535;-0,871462222;-0,004275297;+;0,157426666;0,068822509;0,099829393;-0,457955303;0,006887044;0,001101437;0,18853028;NA;NA;+;NA;NA;+;0,014025043;0,002888796;NA;NA;0,136888925;21;-14847,88947;29737,99397;1003,789488;2.89017660395008e-219
543231;-0,872436896;-0,004272345;+;0,163428759;0,068645883;0,100163153;-0,458566805;0,007067714;0,001094691;0,188316759;NA;NA;+;NA;NA;+;NA;NA;NA;NA;0,136692684;19;-14850,22351;29738,62381;1004,419328;2.10938753254671e-219
641407;-0,897843305;-0,004269021;+;0,157990287;0,068857333;0,099802997;-0,458062513;0,019072113;NA;0,189044711;NA;NA;+;NA;NA;+;0,014238285;0,002437288;NA;NA;0,13690197;20;-14849,34432;29738,88408;1004,679604;1.85198824611758e-219
608767;-0,873760533;-0,004280541;+;0,147552561;0,068719704;0,100149157;-0,458949941;0,006815509;0,001116612;0,189783249;NA;NA;+;NA;NA;+;NA;0,009305976;NA;NA;0,136461903;20;-14849,38508;29738,96559;1004,761116;1.77802551908467e-219
543103;-0,897911523;-0,004267462;+;0,163261017;0,068687075;0,100138995;-0,457490235;0,019180309;NA;0,188726856;NA;NA;+;NA;NA;+;NA;NA;NA;NA;0,136247389;18;-14851,66221;29739,48349;1005,279014;1.37239157692838e-219
608639;-0,89910056;-0,004275002;+;0,147987281;0,068754256;0,100104284;-0,458288875;0,019169552;NA;0,189892502;NA;NA;+;NA;NA;+;NA;0,008937899;NA;NA;0,136194835;19;-14850,88747;29739,95173;1005,747252;1.08592903568904e-219
821183;-0,883312779;-0,004459202;+;0,158363169;0,07304394;0,054244402;-0,579279815;NA;0,001537148;0,262289595;+;+;NA;NA;NA;NA;-0,017526551;NA;NA;-0,008282936;0,145682763;20;-14850,41917;29741,03378;1006,829302;6.32174818841875e-220
821119;-0,920454998;-0,004456945;+;0,158084563;0,073154056;0,054058855;-0,579635099;0,017434477;NA;0,262555117;+;+;NA;NA;NA;NA;-0,017502442;NA;NA;-0,008286277;0,145793457;20;-14850,52315;29741,24174;1007,037262;5.69743460346223e-220
821247;-0,900669856;-0,004460034;+;0,158250313;0,073148308;0,054137081;-0,577962485;0,00851137;0,000807128;0,262029869;+;+;NA;NA;NA;NA;-0,017523114;NA;NA;-0,008293207;0,145270929;21;-14849,73885;29741,69273;1007,488256;4.54723342260181e-220
886207;-0,970364349;-0,004095537;+;0,193362299;0,080872305;0,054750708;-0,589810913;NA;0,001594154;0,282362446;NA;+;NA;NA;NA;NA;-0,009308767;-0,019703672;NA;-0,010620819;0,147348851;19;-14852,7913;29743,75939;1009,554907;1.61800401268131e-220
886143;-1,008455904;-0,004089908;+;0,193705637;0,081060266;0,054397231;-0,589151559;0,018104836;NA;0,282685773;NA;+;NA;NA;NA;NA;-0,009184634;-0,020041278;NA;-0,01065358;0,147102375;19;-14852,81377;29743,80433;1009,599853;1.5820479033093e-220
886271;-0,990956961;-0,004091295;+;0,193529902;0,081000791;0,054591424;-0,589486138;0,009100872;0,00081402;0,282741869;NA;+;NA;NA;NA;NA;-0,009255405;-0,019860082;NA;-0,010641492;0,147199565;20;-14852,01514;29744,22573;1010,021247;1.28148961850577e-220
837951;-0,790457269;-0,004203185;+;0,167371046;0,105168042;0,101688366;-0,469358606;NA;NA;0,180404047;NA;NA;+;NA;NA;+;0,010837603;NA;NA;-0,019019043;0,140645573;19;-14853,20293;29744,58265;1010,378167;1.07203994570893e-220
805183;-0,790650286;-0,004203692;+;0,168297983;0,105478908;0,102002824;-0,470291302;NA;NA;0,180458056;NA;NA;+;NA;NA;+;NA;NA;NA;-0,019235473;0,140530947;18;-14854,32154;29744,80215;1010,59767;9.60608621019993e-221
903487;-0,78671651;-0,004195936;+;0,184757748;0,105703053;0,101646152;-0,468435694;NA;NA;0,178025745;NA;NA;+;NA;NA;+;0,015508376;-0,01033734;NA;-0,019291598;0,140986294;20;-14852,38954;29744,97453;1010,770048;8.81282330065777e-221
791935;-0,895285989;-0,004133428;+;0,160190628;0,077683648;0,056680287;-0,590665519;0,004616715;NA;0,263462329;NA;+;NA;+;NA;NA;NA;NA;NA;-0,008471573;0,146340604;19;-14853,71445;29745,60569;1011,401212;6.42775908437847e-221
853375;-1,016812087;-0,004090282;+;0,199133858;0,081445689;0,054966834;-0,594794734;0,018076525;NA;0,285568485;NA;+;NA;NA;NA;NA;NA;-0,024369326;NA;-0,01060393;0,14745271;18;-14854,75098;29745,66103;1011,456552;6.25234039852689e-221
853439;-0,977913983;-0,004094634;+;0,198877824;0,08126697;0,05533212;-0,594750967;NA;0,001591355;0,285021781;NA;+;NA;NA;NA;NA;NA;-0,024097622;NA;-0,01057197;0,147491426;18;-14854,78067;29745,7204;1011,515926;6.06945602970593e-221
792063;-0,876864411;-0,004137926;+;0,16032601;0,077657719;0,056890472;-0,590766459;-0,004279649;0,000809019;0,263080841;NA;+;NA;+;NA;NA;NA;NA;NA;-0,008471564;0,146427754;20;-14852,92724;29746,04992;1011,845446;5.14748843538707e-221
853503;-0,998460782;-0,00409342;+;0,199034587;0,081392956;0,055144747;-0,594190614;0,009229244;0,000799897;0,285378707;NA;+;NA;NA;NA;NA;NA;-0,024241199;NA;-0,010592323;0,147266741;19;-14853,98093;29746,13864;1011,934166;4.92413733202401e-221
870719;-0,788595608;-0,004201351;+;0,173921196;0,105701208;0,101969324;-0,469917384;NA;NA;0,179337222;NA;NA;+;NA;NA;+;NA;-0,003269167;NA;-0,019356849;0,140546165;19;-14854,21677;29746,61033;1012,40585;3.88960258899575e-221
800255;-0,864670126;-0,004137778;+;0,160675475;0,077878404;0,056962661;-0,592042427;-0,011029438;0,001425192;0,263410505;NA;+;NA;+;+;NA;NA;NA;NA;-0,008485197;0,146823915;22;-14851,89278;29748,02114;1013,816658;1.92110927580003e-221
796095;-0,887504588;-0,004137191;+;0,160486608;0,077450543;0,056742783;-0,591635249;NA;0,000468141;0,26316186;NA;+;NA;NA;+;NA;NA;NA;NA;-0,008458062;0,146732259;19;-14854,97069;29748,11817;1013,913695;1.8301250709597e-221
796159;-0,90683877;-0,004137113;+;0,160422803;0,077547912;0,0565544;-0,591687959;0,009051614;-0,000313005;0,263178433;NA;+;NA;NA;+;NA;NA;NA;NA;-0,008466033;0,146747568;20;-14854,20391;29748,60327;1014,398787;1.43596668090034e-221
788415;-0,880401321;-0,004489264;+;0,154843595;0,072643114;0,055647058;-0,588667793;NA;0,001529854;0,260105086;+;+;NA;NA;NA;NA;NA;NA;NA;-0,007512317;0,146103253;19;-14859,12226;29756,42131;1022,216831;2.8805653948351e-223
788351;-0,91772253;-0,004485535;+;0,154553641;0,072764138;0,055323907;-0,588044814;0,017358082;NA;0,26085857;+;+;NA;NA;NA;NA;NA;NA;NA;-0,007521242;0,145794548;19;-14859,22079;29756,61836;1022,41388;2.61029246090334e-223
788479;-0,89829542;-0,004488955;+;0,154740323;0,072749442;0,055488658;-0,587874801;0,008487495;0,000802077;0,260134328;+;+;NA;NA;NA;NA;NA;NA;NA;-0,007523874;0,145841291;20;-14858,44593;29757,08731;1022,882831;2.06470319729563e-223
820671;-0,932456174;-0,004110026;+;0,163253923;0,077751424;0,054805825;-0,582482782;NA;0,001591026;0,265443175;NA;+;NA;NA;NA;NA;-0,017986794;NA;NA;-0,009273919;0,146516783;18;-14861,04054;29758,24015;1024,035673;1.16016912674755e-223
822207;-0,954102451;-0,004437162;+;0,160767415;0,071272395;0,099215438;-0,496472745;NA;0,001656952;0,243964311;+;NA;+;NA;NA;NA;0,013646203;NA;NA;-0,002528739;0,139700876;20;-14859,22332;29758,64208;1024,437605;9.48948728612578e-224
820607;-0,9707966;-0,004104938;+;0,163065333;0,077883656;0,054496109;-0,582555199;0,018021827;NA;0,265859287;NA;+;NA;NA;NA;NA;-0,018006556;NA;NA;-0,009283817;0,14647199;18;-14861,34188;29758,84284;1024,638357;8.58321653797345e-224
820735;-0,9510929;-0,00410782;+;0,163206512;0,077848425;0,054683775;-0,582599443;0,008248232;0,000883729;0,265725861;NA;+;NA;NA;NA;NA;-0,01800627;NA;NA;-0,00928382;0,146530419;19;-14860,40117;29758,97912;1024,774637;8.01783614009873e-224
822271;-0,966667674;-0,004437362;+;0,160684719;0,071341029;0,099198968;-0,495598824;0,007568363;0,001007784;0,242432546;+;NA;+;NA;NA;NA;0,013585535;NA;NA;-0,002531178;0,139504098;21;-14858,68846;29759,59195;1025,387476;5.90175134416981e-224
821695;-0,975280693;-0,00425437;+;0,163912742;0,072553676;0,099488605;-0,496622248;NA;0,001677926;0,243850811;NA;NA;+;NA;NA;NA;0,013790786;NA;NA;-0,002718975;0,14024429;18;-14861,77531;29759,70969;1025,505213;5.56435199380708e-224
822143;-0,990297966;-0,004434588;+;0,160462896;0,071359067;0,099221128;-0,497324437;0,018714077;NA;0,242571197;+;NA;+;NA;NA;NA;0,013619324;NA;NA;-0,002530603;0,14016768;20;-14859,91552;29760,02647;1025,821995;4.74926493288697e-224
789439;-0,950540141;-0,00443727;+;0,161885537;0,071248684;0,099601891;-0,496761788;NA;0,001664871;0,242218407;+;NA;+;NA;NA;NA;NA;NA;NA;-0,002613876;0,139490209;19;-14861,01035;29760,19749;1025,993013;4.36003717673836e-224
887743;-0,956859393;-0,004429037;+;0,16339113;0,071541787;0,09931102;-0,496558421;NA;0,001656936;0,244974832;+;NA;+;NA;NA;NA;0,014307835;-0,001668248;NA;-0,002670888;0,139501997;21;-14859,16753;29760,5501;1026,345619;3.65529744945113e-224
821759;-0,99024833;-0,004252617;+;0,163835854;0,072629599;0,099452852;-0,496064604;0,007278626;0,001054024;0,243448122;NA;NA;+;NA;NA;NA;0,013759514;NA;NA;-0,002723501;0,140085293;19;-14861,27847;29760,73373;1026,529254;3.33462484935807e-224
