"species";"obs_id";"obs_letter";"order_round_1";"order_round_2";"order_round_3"
"VERCHA";"obs_vypj";"I";"9-10-1-2-3-4-7-5-6-8";"6-8-9-10-3-1-2-7-5-4";"1-8-2-9-6-4-7-5-3-10"
"LIMNAR";"obs_eulm";"A";"1-2-3-4-5-7-6-9-8-10";"8-10-5-3-2-7-1-9-4-6";"1-5-7-10-9-4"
"LIMNAR";"obs_ntol";"C";"3-4-5-6-7-8-9-10-1-2";"5-1-3-2-4-7-10-8-9-6";"4-6-7-5-3-10-1-8-9-2"
"LIMNAR";"obs_sqbm";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-4-7-8-9-6-5-3-10";"7-5-4-1-8-2-6-10-9-3"
"LIMNAR";"obs_sjag";"G";"7-8-9-10-1-2-3-4-5-6";"7-8-6-4-10-9-5-3-1-2";"3-10-1-8-2-4-9-5-6-7"
"LIMNAR";"obs_pmtg";"I";"9-10-1-2-3-4-5-6-8-7";"6-9-8-10-5-1-3-4-2-7";"8-2-9-1-4-6-5-3-10-7"
"ERIANN";"obs_cgkm";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-6-4-7-5-3-10-1-8"
"ERIANN";"obs_lqps";"C";"3-4-5-6-7-10-8-1-2-9";"5-3-1-2-7-8-9-4-6-10";"4-6-7-5-3-10-2-1-8-9"
"ERIANN";"obs_ppmb";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-8-1-10-2-6-4-9"
"ERIANN";"obs_owlx";"G";"7-8-9-10-1-2-3-4-5-6";"7-5-6-8-9-10-4-3-1-2";"3-10-1-8-9-2-4-6-7-5"
"ERIANN";"obs_hrjo";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-6-7-5-3-10"
"AMBART";"obs_xhho";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-7-4-6-9";"2-9-4-6-7-5-3-10-1-8"
"AMBART";"obs_dglw";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-4-6-7-5-3-10-1-8-2"
"AMBART";"obs_kgqc";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-1-2-4-6-9-10-8-7";"4-6-7-5-3-10-1-8-2-9"
"AMBART";"obs_jxbn";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-3-5";"7-5-3-10-1-8-2-6-4-9"
"AMBART";"obs_gdvs";"G";"7-8-9-10-1-2-3-4-5-6";"7-4-6-9-8-10-5-3-1-2";"3-10-1-8-2-9-4-6-7-5"
"AMBART";"obs_aefg";"I";"9-10-1-2-3-4-5-6-7-8";"6-9-8-10-5-3-1-2-7-4";"1-8-2-9-4-7-6-10-5-3"
"LIMGIR";"obs_twze";"A";"1-2-3-4-5-6-7-8-9-10";"8-10-5-3-1-2-9-7-4-6";"2-9-4-6-5-3-10-7-1-8"
"LIMGIR";"obs_rfen";"B";"2-3-4-5-6-7-8-9-10-1";"10-5-3-1-2-7-4-6-9-8";"9-6-4-7-5-3-10-1-8-2"
"LIMGIR";"obs_yvfg";"C";"3-4-5-6-7-8-9-10-1-2";"5-3-2-1-4-7-6-9-8-10";"4-6-7-5-3-10-8-2-1-9"
"LIMGIR";"obs_yuly";"E";"5-6-7-8-9-10-1-2-3-4";"1-2-7-4-6-9-8-10-5-3";"7-5-3-10-1-8-2-9-4-6"
